File,Model,Operation,Severity,Issue
"src/app/api/enterprise/property/route.ts","propertyUnit","createMany","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/quality/route.ts","qualityInspection","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/wms/route.ts","warehouseZone","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/wms/route.ts","warehouseRack","create","CRITICAL","Mutation without tenantId"
"src/app/api/enterprise/wms/route.ts","warehouseBin","create","CRITICAL","Mutation without tenantId"
"src/app/api/esign/route.ts","signatureRequest","create","CRITICAL","Mutation without tenantId"
"src/app/api/events/registrations/route.ts","eventRegistration","create","CRITICAL","Mutation without tenantId"
"src/app/api/events/registrations/route.ts","event","update","CRITICAL","Mutation without tenantId"
"src/app/api/events/route.ts","event","create","CRITICAL","Mutation without tenantId"
"src/app/api/expenses/route.ts","expense","create","CRITICAL","Mutation without tenantId"
"src/app/api/expenses/route.ts","expense","update","CRITICAL","Mutation without tenantId"
"src/app/api/expenses/route.ts","treasury","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/expenses/route.ts","expense","delete","CRITICAL","Mutation without tenantId"
"src/app/api/field-service/orders/route.ts","fieldServiceOrder","create","CRITICAL","Mutation without tenantId"
"src/app/api/field-service/orders/route.ts","fieldServiceOrder","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/assets/route.ts","fixedAsset","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/auto-ecl/route.ts","journalEntry","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/bank-recon/rules/route.ts","bankReconRule","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/bank-recon/rules/route.ts","bankReconRule","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/bank-recon/rules/route.ts","bankReconRule","delete","CRITICAL","Mutation without tenantId"
"src/app/api/finance/budget/route.ts","budgetVersion","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/budget/route.ts","budgetLine","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/budget/route.ts","budgetVersion","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/cash-flow/forecast/route.ts","cashFlowForecast","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/checks/route.ts","checkTransaction","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/checks/[id]/process/route.ts","checkTransaction","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/consolidation/elimination/route.ts","consolidationRun","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/consolidation/elimination/route.ts","consolidationLine","createMany","CRITICAL","Mutation without tenantId"
"src/app/api/finance/payment-run/propose/route.ts","paymentRun","create","CRITICAL","Mutation without tenantId"
"src/app/api/finance/payment-run/[id]/approve/route.ts","paymentRun","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/payment-run/[id]/confirm/route.ts","paymentRun","update","CRITICAL","Mutation without tenantId"
"src/app/api/finance/payment-run/[id]/confirm/route.ts","purchaseInvoice","updateMany","CRITICAL","Mutation without tenantId"
"src/app/api/finance/payment-run/[id]/send-bank/route.ts","paymentRun","update","CRITICAL","Mutation without tenantId"
