Path,Lines,HasPrismaDirect,HasServiceCall,NeedsRefactor
"D:\namasoft9-3-main\src\app\api\compliance\audits\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\compliance\risks\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\compliance\rules\route.ts",37,false,false,false
"D:\namasoft9-3-main\src\app\api\contracts\alerts\route.ts",74,true,false,true
"D:\namasoft9-3-main\src\app\api\contracts\renewals\route.ts",80,false,false,false
"D:\namasoft9-3-main\src\app\api\contracts\route.ts",53,false,false,false
"D:\namasoft9-3-main\src\app\api\contracts\templates\route.ts",112,false,false,false
"D:\namasoft9-3-main\src\app\api\copa\allocations\route.ts",9,false,false,false
"D:\namasoft9-3-main\src\app\api\copa\characteristics\route.ts",66,true,false,true
"D:\namasoft9-3-main\src\app\api\copa\route.ts",9,false,false,false
"D:\namasoft9-3-main\src\app\api\copa\value-fields\route.ts",23,false,false,false
"D:\namasoft9-3-main\src\app\api\coupons\route.ts",77,true,false,true
"D:\namasoft9-3-main\src\app\api\coupons\validate\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\coupons\[id]\route.ts",73,true,false,true
"D:\namasoft9-3-main\src\app\api\cpq\route.ts",66,false,false,false
"D:\namasoft9-3-main\src\app\api\credit-check\route.ts",177,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\accounts\route.ts",27,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\activities\route.ts",50,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\campaigns\route.ts",130,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\customer-health\route.ts",17,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\customer360\route.ts",21,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\forecast\route.ts",24,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\help-desk\route.ts",16,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\kb\route.ts",11,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\leads\route.ts",97,true,false,true
"D:\namasoft9-3-main\src\app\api\crm\leads\[id]\convert\route.ts",28,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\marketing\route.ts",20,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\omnichannel\route.ts",23,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\opportunities\route.ts",115,true,false,true
"D:\namasoft9-3-main\src\app\api\crm\opportunities\[id]\win\route.ts",38,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\portal\route.ts",20,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\sla\route.ts",107,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\surveys\route.ts",21,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\territory\route.ts",28,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\tickets\route.ts",138,false,false,false
"D:\namasoft9-3-main\src\app\api\crm\whatsapp\broadcast\route.ts",118,true,false,true
"D:\namasoft9-3-main\src\app\api\crm\whatsapp\route.ts",124,true,false,true
"D:\namasoft9-3-main\src\app\api\crm\whatsapp\sessions\route.ts",37,true,false,false
"D:\namasoft9-3-main\src\app\api\crm\whatsapp\webhook\route.ts",231,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\approval-sla\route.ts",49,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\ar-collection-dunning\route.ts",141,false,false,false
"D:\namasoft9-3-main\src\app\api\cron\backup\route.ts",81,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\contract-expiry\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\contracts\route.ts",69,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\cycle-count\route.ts",69,true,false,true
"D:\namasoft9-3-main\src\app\api\cron\daily-audit\route.ts",179,false,false,false
